,,Note differences here,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Actual IV for this,MDMA and analogues with modified Î±-substituents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Number of sentences the actual IV is mentioned,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
, ,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Main Conclusion DV,Main DV of Conclusions ,,enhanced cytotoxic efficacy against lymphoma subtypes,cancer killing properties,blood cancer,,blood cancer,blood cancer,,,cancer,blood cancer,cancerous cell destruction,,,,,,,,,,,,,,,,,,blood cancer,,,,,,blood cancer
,,Code of Main DV,,23,23,23,,23,23,,,23,23,23,,,,,,,,,,,,,,,,,,23,,,,,,23
,,Is this DV in the first 2 sentences?,,,1,1,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Number of Sentences the DV is mentioned on,,,5,6,,7,12,,,4,6,3,,,,,,,,,,,,,,,,,,14,,,,,,10
,,Words to First Mention,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,What terms were included in the count?,,,"cancer treatment, cancer busting properties, cancer killing agent, ability to attack and destroy cancerous cells","cancers of the blood, leukaemia, cancerous cells, blood cancer, tumour",,"big C, cancer, tumours, blood cancer","cancerm blood cancer, leukaemia, cancers affecting white blood cells, lymphoma, cancer cells",,,"cancer, leukaemia, white blood cell cancers","cancer, blood cancer, cancers affecting white blood cells, leukaemia, cancerous cells, tumour","cancer, cancerous cells",,,,,,,,,,,,,,,,,,"blood cancer, cancer, cancer cells, leukaemia, lymphoma, cancer-fighting effectiveness, cancerous membranes",,,,,,"leukaemia, blood cancer, cancer, cancerous cells, cancer cells, lymphoma"
,,is there ambiguity?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,if yes describe,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the same DV being coded here as the abstract?,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Note differences here,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Actual DV for this,Cellular cytotoxicity/viability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DV Code ,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,0,,0,0,,,1,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Number of sentences the actual DV is mentioned,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for Generalisation?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,is the DV quantified ,,1,1,1,,1,0,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Base Rate Mentioned,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Second IV,Second IV of Conclusions (or quasi IV),,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,How does this IV relate to the research article,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,IV Code,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of Sentences the IV is mentioned on,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,is there ambiguity?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,if yes describe,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the same IV being coded here as the abstract?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Note differences here,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Actual IV for this,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code ,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of sentences the actual IV is mentioned,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for Generalisation?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Second DV,Second DV of Conclusions,,predicted lipophilicity,structure of modified MDMA,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,How does this DV relate to the research article,,2,2,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Code of DV,,20,20,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of Sentences the DV is mentioned on,,,4,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,242,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,,"structure, mechanism, lilophilic, more 'soapy'",-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,is there ambiguity?,,,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,if yes describe,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the same DV being coded here as the abstract?,,,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Note differences here,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Actual DV for this,lipophilicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DV Code ,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of sentences actual DV is mentioned in,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for Generalisation?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,is the DV quantified ,,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Base Rate Mentioned,,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Sample,Who are the Main Conclusions About?,,Burkitt_™s lymphoma (BL) cells,-9,-9,,-9,-9,,,cancer sufferers,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Sample Code,,6,-9,-9,,-9,2,,,1,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Note here in case above is 8,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of Sentences the sample is mentioned in,,,1,0,,0,4,,,2,0,0,,,,,,,,,,,,,,,,,,3,,,,,,0
,,Words to First Mention,,,89,-9,,-9,65,,,0,-9,-9,,,,,,,,,,,,,,,,,,41,,,,,,-9
,,What terms were included in the count?,,,test tube,-9,,-9,"people, patients",,,"cancer sufferers, patient",-9,-9,,,,,,,,,,,,,,,,,,test tube,,,,,,-9
,,Is the sample code the same as the main conclusions of the abstract?,,,2,2,,2,2,,,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2
,,Note differences here,,,sample is not explicit in the first two sentences of the press release,the sample is not clear in the news article,,the sample is not clear in the news article,abstract is explicitly cells,,,"abstract is cells, news article is humans",sample is not explicit in the news article,the sample is not explicit,,,,,,,,,,,,,,,,,,sample in the news article is not explicit in the first two sentences,,,,,,sample is not explicit in the news article
,,Actual Sample for this,Cell lines deriving from different B-cell malignancies and variants of the L3055 BL cell line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample Code,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note here in case above is 8,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,0,0,1,2,,2,2,,,2,2,2,,,,,,,,,,,,,,,,,,1,,,,,,2
,,"Number of Sentences the actual sample is mentioned in the Abstract, PR or News",,-9,-9,3,,1,3,,,0,2,0,,,,,,,,,,,,,,,,,,-9,,,,,,3
,,Words to First Mention,,,-9,29,,89,97,,,-9,19,-9,,,,,,,,,,,,,,,,,,-9,,,,,,15
,,What terms were included in the count?,,-9,-9,cells,,cells,"cells, test tube",,,-9,cells,-9,,,,,,,,,,,,,,,,,,-9,,,,,,"cell, cells"
,,Justification Offered for Generalisation?,-9,-9,-9,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,-9,,,,,,0
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,-9,-9,-9,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,-9,,,,,,0
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Causation/Relationship,Primary Statement of Relationship,"Analogues of MDMA with modified Î±-substituents were iteratively designed and synthesised, and found to be up to 10-fold (first generation) and 100-fold (second generation) more potent than the parent amphetamine derivative at promoting lymphoma cell death","incorporating a phenyl group increased potency against sensitive, Bcl-2-deplete, Burkitt_™s lymphoma (BL) cells","significant success in _˜redesigning the designer drug_™ for potential use as a cancer-killing agent in the treatment of leukaemia, lymphoma and myeloma","Modified versions of the dance club drug may help to fight leukaemia, lymphoma and myeloma",,an illegal rave drug could hold the key to beating cancer,THE designer drug Ecstasy has been developed into a potent medical treatment that could be the key to tackling blood cancers,,,"the designer drug could be used to treat leukaemia, lymphoma and myeloma ","Modified forms of the drug Ecstasy may be effective against leukaemia, lymphoma and myeloma",modified forms of the rave drug boosted its ability to destroy cancerous cells,,,,,,,,,,,,,,,,,,"Ecstasy is known to kill some cancer cells, but scientists have increased its effectiveness 100-fold",,,,,,Ecstasy 'key to treating leukaemia'
,about main IV and DV,Statement of Relationship Code,6,6,4,4,,4,4,,,4,4,6,,,,,,,,,,,,,,,,,,6,,,,,,6
,,Is the statement probabilistic?,0,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Number of Mentions,,,3,3,,4,4,,,3,3,2,,,,,,,,,,,,,,,,,,7,,,,,,4
,,Words to First Mention,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,What terms were included in the count?,,,"holds promise, potential use, boosted","may help to fight, could be used to treat",,"to fight, could hold the key to beating, could beat, more effective","could be the key to tackling, is set to treat, may help save, has potential",,,"could be used to treat, could be used to cure","boosted, may be effective against, may help combat","fights, boosted",,,,,,,,,,,,,,,,,,"attacks, could one day have a role, have increased its effectiveness, could be increased, could be killed, can wipe out, has the potential",,,,,,"key to treating, possible treatment, could help fight, can boost"
,,Is the press release or news story concordant with the Journal Article Body?,,,1,1,,1,1,,,1,1,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Is the press release or news story concordant the abstract?,,,1,1,,1,1,,,1,1,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Justification Offered for statement of relationship?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,0,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Causation,Secondary Statement of Cause,a strong correlation was indeed observed with anti-lymphoma potency closely tracking calculated lipophilicity,Enhanced cytotoxic performance did however track with predicted lipophilicity amongst the designed compounds,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,about second IV and/or DV,Statement of Cause Code,2,2,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the statement probabilistic?,0,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Number of Mentions,,,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the press release or news story concordant with the Journal Article Body?,,,3,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the press release or news story concordant with the abstract?,,,3,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for Cause?,,0,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,0,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Cure,Is 'cure' present in the text?,0,1,0,0,,0,0,,,3,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,Advice,Advice to Change Behaviour,0,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Code,0,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Number of Mentions,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,What terms were included in the count?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Is the same Advice being coded here?,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Note differences here,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Justification Offered for changing behaviour?,-9,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Caveats Mentioned?,-9,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Study Design  First IV and DV                    ,Study Design,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Words to First Mention,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Study Design  Second IV and DV                    ,Study Design,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,0,0,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Words to First Mention,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,Study Facts,N,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Completion Rate,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Small or Large Based on what they say,0,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Duration of Study,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,0,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,Number of Time Points for longitudinal studies,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,-9,-9,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Open Access?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Link or reference to Original Research,,,2,1,,0,1,,,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Link or reference to PR and Other,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,Quotes,Present,,,1,1,,1,1,,,0,1,0,,,,,,,,,,,,,,,,,,1,,,,,,1
,,Quote 1 Source,,,,1,,1,1,,,-9,1,-9,,,,,,,,,,,,,,,,,,2,,,,,,1
,,Quote 2 Source,,,,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,1,,,,,,-9
,,Quote 3 Source,,,,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Quote 4 Source,,,,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
,,Quote 5 Source,,,,-9,,-9,-9,,,-9,-9,-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9
, Funding Source + Conflict of Interest ,First mentioned Funding Source,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Second funding source,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported,,,1,1,,0,1,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,1
,,Conflict of Interest ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported,,,0,0,,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV2,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DV,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DV2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
