Press Release Title,New Research Points to the Benefits of Being all Fingers and Thumbs ,Key:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Title: Original Research,The Nature of Gestures' Beneficial Role in Spatial Problem Solving,,,,Dotted Cells first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discipline,5,,Title ,,Diagonal Lines Second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline,-9,,First 2 sentences,,Striped Cells Third,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-discipline 2,-9,,Discussion/ Conclusion,,Blank Cells Last,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes (complete/incomplete),complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coder:,7,,Journal Article - Body,Journal Article - Title and Abstract,Press Release,Daily Mail,Sun,Mirror,Express,Times,Guardian,Telegraph,Independent,Daily Star,Scotsman,Financial Times,Racing Post,The Observer,Sunday Sun,Mail on Sunday,Sunday Mirror,Sunday Times,Sunday Express,Daily Star Sunday,The People,Sunday Telegraph,Sunday Mail,Sunday Post,Financial Times,Economist,New Scientist,BBC News,Mail Online,Guardian.co.uk,Press Association,Reuters,Associated Press,Metro
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is the DV quantified ,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Base Rate Mentioned,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Second IV,Second IV of Conclusions (or quasi IV),,Gesture-encouragement / gesture prohibition,Gesture-encouragement / absence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,How does this IV relate to the research article,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code,,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Sentences the IV is mentioned on,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,"..One group was encouraged to use hand gestures, the second was given no instructions, and the third group was asked to complete the task while sitting on their hands.. ..The gesture-encouraged group..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is there ambiguity?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,if yes describe,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the same IV being coded here as the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Actual IV for this,Gesture-encouragement / gesture prohibition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IV Code ,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of sentences the actual IV is mentioned,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Generalisation?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Second DV,Second DV of Conclusions,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,How does this DV relate to the research article,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code of DV,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Sentences the DV is mentioned on,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is there ambiguity?,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,if yes describe,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the same DV being coded here as the abstract?,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Actual DV for this,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DV Code ,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of sentences actual DV is mentioned in,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Generalisation?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is the DV quantified ,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Base Rate Mentioned,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sample,Who are the Main Conclusions About?,,Participants,Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample Code,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note here in case above is 8,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Sentences the sample is mentioned in,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,..groups of students.. ..students.. ..group..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the sample code the same as the main conclusions of the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Actual Sample for this,Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Sample Code,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note here in case above is 8,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is there a generalisation?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Number of Sentences the actual sample is mentioned in the Abstract, PR or News",,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Generalisation?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Causation/Relationship,Primary Statement of Relationship,gestures improved performance in spatial visualization problems,We concluded that gestures enhance performance on spatial visualization tasks ,Gesturing with our hands helps us to solve spatial visualisation problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,about main IV and DV,Statement of Relationship Code,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the statement probabilistic?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Mentions,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,..helps us to.. ..increased as.. ..has a lasting beneficial effect.. ..benefits.. ..helps us..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the press release or news story concordant with the Journal Article Body?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the press release or news story concordant the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for statement of relationship?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Causation,Secondary Statement of Cause,performance of the gesture-encouraged group in gesturing trials was significantly better than performance of the gesture-allowed group ,gesture-encouraged group solved more mental rotation problems correctly ,gesture-encouraged group were more successful ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,about second IV and/or DV,Statement of Cause Code,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the statement probabilistic?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Mentions,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,see above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the press release or news story concordant with the Journal Article Body?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the press release or news story concordant with the abstract?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for Cause?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cure,Is 'cure' present in the text?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advice,Advice to Change Behaviour,"people spontaneously deploy gestures to facilitate spatial problem
solving, and gesture improves the internal computation of spatial
transformation in a problem-general way","gestures enhance performance on spatial visualization tasks by improving the internal computation of
spatial transformations",Our research shows that we are more competent at solving a problem when we are able to move our hands while thinking through a solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Mentions,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,What terms were included in the count?,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is the same Advice being coded here?,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note differences here,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Justification Offered for changing behaviour?,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Caveats Mentioned?,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Study Design  First IV and DV                    ,Study Design,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,39,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Study Design  Second IV and DV                    ,Study Design,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Words to First Mention,,56,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Study Facts,N,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Completion Rate,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Small or Large Based on what they say,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Duration of Study,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number of Time Points for longitudinal studies,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported?,,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Open Access?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Link or reference to Original Research,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Link or reference to PR and Other,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quotes,Present,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quote 1 Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quote 2 Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quote 3 Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quote 4 Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quote 5 Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Funding Source + Conflict of Interest ,First mentioned Funding Source,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Second funding source,,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Conflict of Interest ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Reported,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV1,Non-genetic Identification,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DV1,Mental functioning,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IV2,Non-genetic Identification,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
